title,key,style,tempo,checked,audio_produced,chords,marked_,turnaround,composers
On The Trail,F,,,,,"F^7, F^7, F^7, F^7, F^7, Am7, D7, Gm7, C7, Abm7, Db7, Abm7, Db7, Gm7, C7, F6, Gm7, C7",|F^7|F^7|F^7|F^7|F^7|Am7 D7|Gm7|C7|Abm7|Db7|Abm7|Db7|Gm7|C7|F6|Gm7 C7|,2,"Grofe, Ferde"
Paper Doll,F,,,,,"F^7, D7, G7, C7, F6, F^7, Fm^7, C^7, A7, G7, C7, Gm7, C7, F6, Gm7, C7, A7, Bb^, Bo7, F^, A7, D7, Gm7, C7, F6",|F^7 D7|G7|C7|F6|F^7 Fm^7|C^7 A7|G7|C7|Gm7 C7|F6|Gm7 C7|A7|Bb^ Bo7|F^&A7&D7|Gm7 C7|F6|,0,"Black, Johnny"
Peace,B-,,,,,"A%7, D7, Gm7, C7, B^7, C%7, F7, Bb^7, Bm7, E7, A^7, F#m7, Eb%7, Ab7, Db^7, C7, B7, Bb^7",|A%7 D7|Gm7 C7|B^7 C%7&F7|Bb^7|Bm7 E7|A^7 F#m7|Eb%7 Ab7|Db^7|C7 B7|Bb^7|,0,"Silver, Horace"
Pent Up House,G,,,,,"Am7, D7, G^7, G^7, Am7, D7, G^7, G^7, Dm7, G7, Cm7, F7, Am7, D7, G^7, G^7",|Am7|D7|G^7|G^7|Am7|D7|G^7|G^7|Dm7|G7|Cm7|F7|Am7|D7|G^7|G^7|,0,"Rollins, Sonny"
Recordame,a,,,,,"Am, Am, Am, Am, Cm, Cm, Cm, Cm7, F7, Bb^7, Bbm7, Eb7, Ab^7, Abm7, Db7, Gb^7, Gm7, C7, F^7, E7",|Am|Am|Am|Am|Cm|Cm|Cm|Cm7 F7|Bb^7|Bbm7 Eb7|Ab^7|Abm7 Db7|Gb^7|Gm7 C7|F^7|E7|,-1,"Henderson, Joe"
Red Clay,c,,,,,"Cm7, Bbm7, Dbsus, Ebsus, Fsus, Gsus, Cm7, Bbm7, Eb7, Ab^7, D%7, G7",|Cm7|Bbm7|Dbsus Ebsus|Fsus Gsus|Cm7|Bbm7 Eb7|Ab^7|D%7 G7|,-1,"Hubbard, Freddie"
Remember,A-,,,,,"Db7, C7, B7, Bb7, Bbm7, Eb%7, Ab^7, Ebm7, Ab7, Db7, C7, B7, Bb7, Bbm7, Eb%7, Ab^7, Ebm7, Ab7, Db^7, Db^7, Dbm7, Gb7, Ab^7, Ab^7, G%7, C7, Db7, C7, B7, Bb7, Bbm7, Eb%7, Ab^7, Ebm7, Ab7",|Db7|C7|B7|Bb7|Bbm7|Eb%7|Ab^7|Ebm7 Ab7|Db7|C7|B7|Bb7|Bbm7|Eb%7|Ab^7|Ebm7 Ab7|Db^7|Db^7|Dbm7|Gb7|Ab^7|Ab^7|G%7|C7|Db7|C7|B7|Bb7|Bbm7|Eb%7|Ab^7|Ebm7 Ab7|,2,"Berlin, Irving"
Rose Room,G,,,,,"A7, D7, G6, G6, G7, G7, C^, C^, Cm, F7, G6, E7, A7, A7, Am7, D7, A7, D7, G6, G6, G7, G7, C^, C^, Cm, F7, G6, E7, A7, D7, G6, G6",|A7|D7|G6|G6|G7|G7|C^|C^|Cm|F7|G6|E7|A7|A7|Am7|D7|A7|D7|G6|G6|G7|G7|C^|C^|Cm|F7|G6|E7|A7|D7|G6|G6|,0,"Hickman, Art"
Serenade To A Cuckoo,f,,,,,"Fm7, G%7, C7, Fm7, G%7, C7, Fm7, G%7, C7, Fm7, F7, Bbm7, Eb7, Ab^7, Db^7, G%7, C7, Fm7, F7, Bbm7, Eb7, Ab^7, Db^7, G%7, C7, Fm7",|Fm7|G%7 C7|Fm7|G%7 C7|Fm7|G%7 C7|Fm7|F7|Bbm7 Eb7|Ab^7 Db^7|G%7 C7|Fm7 F7|Bbm7 Eb7|Ab^7 Db^7|G%7 C7|Fm7|,1,"Kirk, Roland"
Serenity,E-,,,,,"D%7, G7, Ab^7, Gb^7, Em7, A7, Fm7, Bb7, Eb^7, D%7, G7, Cm7, Cm7, Abm7, Db7, G7, Gb7, F7, E^7, Fm7, Bb7, Eb^7, D%7, G7",|D%7|G7|Ab^7 Gb^7|Em7 A7|Fm7 Bb7|Eb^7 D%7&G7|Cm7 Cm7|Abm7 Db7|G7 Gb7|F7|E^7|Fm7 Bb7|Eb^7|D%7 G7|,2,"Henderson, Joe"
